kind,city,state,county,latitude,longitude,population
county,,AK,Aleutians West,51.959447,178.338813,
county,,AK,Anchorage,61.174250,-149.284329,
county,,AK,Bethel,60.929141,-160.152625,
county,,AK,Bristol Bay,58.741661,-156.966805,
county,,AK,Chugach,60.488474,-146.203092,
county,,AK,Copper River,62.034479,-143.922167,
county,,AK,Denali,63.682039,-150.027016,
county,,AK,Dillingham,59.543326,-158.267123,
county,,AK,Fairbanks North Star,64.676044,-146.548159,
county,,AK,Haines,59.098404,-135.575791,
county,,AK,Hoonah-Angoon,58.403336,-135.884909,
county,,AK,Juneau City and,58.372910,-134.178445,
county,,AK,Kenai Peninsula,60.360766,-152.052640,
county,,AK,Ketchikan Gateway,55.449938,-131.106685,
county,,AK,Kodiak Island,57.704400,-153.918372,
county,,AK,Kusilvak,62.283588,-163.190171,
county,,AK,Lake and Peninsula,58.108507,-156.413413,
county,,AK,Matanuska-Susitna,62.265626,-149.503993,
county,,AK,Nome,64.783686,-164.188912,
county,,AK,North Slope,69.449343,-153.472830,
county,,AK,Northwest Arctic,67.005066,-160.021086,
county,,AK,Petersburg,57.112458,-133.008598,
county,,AK,Prince of Wales-Hyder,55.682773,-133.162389,
county,,AK,Sitka City and,57.193204,-135.367396,
county,,AK,Skagway,59.560379,-135.338279,
county,,AK,Southeast Fairbanks,63.864997,-143.218628,
county,,AK,Wrangell City and,56.180779,-132.026788,
county,,AK,Yakutat City and,60.017453,-140.416942,
county,,AK,Yukon-Koyukuk,65.375727,-151.577850,
city,Abanda,AL,,33.091627,-85.527029,
city,Abbeville,AL,,31.564724,-85.259123,
city,Adamsville,AL,,33.602315,-86.971527,
city,Addison,AL,,34.202681,-87.178004,
city,Akron,AL,,32.879066,-87.740899,
city,Alabaster,AL,,33.244399,-86.847372,
city,Albertville,AL,,34.263130,-86.210660,
city,Alexander City,AL,,32.927240,-85.937122,
city,Alexandria,AL,,33.760819,-85.872008,
city,Aliceville,AL,,33.123706,-88.159344,
city,Allgood,AL,,33.907623,-86.516109,
city,Altoona,AL,,34.040014,-86.305179,
city,Andalusia,AL,,31.309436,-86.478031,
city,Anderson,AL,,34.915675,-87.274274,
city,Anniston,AL,,33.673469,-85.810891,
city,Arab,AL,,34.332387,-86.501167,
city,Ardmore,AL,,34.987838,-86.829022,
city,Argo,AL,,33.691018,-86.505281,
city,Ariton,AL,,31.597772,-85.713061,
city,Arley,AL,,34.076234,-87.217831,
city,Ashford,AL,,31.185284,-85.236236,
city,Ashland,AL,,33.269892,-85.833706,
city,Ashville,AL,,33.835197,-86.270015,
city,Athens,AL,,34.779021,-86.950799,
city,Atmore,AL,,31.124067,-87.457798,
city,Attalla,AL,,33.986189,-86.121037,
city,Auburn,AL,,32.607722,-85.489545,
city,Autaugaville,AL,,32.432563,-86.658752,
city,Avon,AL,,31.179727,-85.279211,
city,Axis,AL,,30.922171,-88.022620,
city,Babbie,AL,,31.302083,-86.319437,
city,Baileyton,AL,,34.260858,-86.608788,
city,Bakerhill,AL,,31.776923,-85.295408,
city,Ballplay,AL,,34.023047,-85.801478,
city,Banks,AL,,31.813264,-85.836434,
city,Bay Minette,AL,,30.894436,-87.791306,
city,Bayou La Batre,AL,,30.407586,-88.263271,
city,Bear Creek,AL,,34.255481,-87.713399,
city,Beatrice,AL,,31.733309,-87.209046,
city,Beaverton,AL,,33.935411,-88.021778,
city,Belgreen,AL,,34.474540,-87.861678,
city,Belk,AL,,33.651641,-87.928610,
city,Bellamy,AL,,32.463658,-88.131481,
city,Belle Fontaine,AL,,30.489492,-88.105940,
city,Benton,AL,,32.307931,-86.817546,
city,Berlin,AL,,34.195396,-86.743618,
city,Berry,AL,,33.666702,-87.609311,
city,Bessemer,AL,,33.370858,-86.971522,
city,Billingsley,AL,,32.664711,-86.706713,
city,Birmingham,AL,,33.527174,-86.797036,
city,Black,AL,,31.009770,-85.744420,
city,Blountsville,AL,,34.075838,-86.583918,
city,Blue Ridge,AL,,32.498900,-86.182436,
city,Blue Springs,AL,,31.663516,-85.503526,
city,Boaz,AL,,34.199020,-86.155151,
city,Boligee,AL,,32.768081,-88.028590,
city,Bon Air,AL,,33.259370,-86.327148,
city,Bon Secour,AL,,30.318246,-87.724390,
city,Boykin,AL,,32.068375,-87.294343,
city,Brantley,AL,,31.581992,-86.256784,
city,Brantleyville,AL,,33.219303,-86.882522,
city,Brent,AL,,32.944893,-87.172088,
city,Brewton,AL,,31.109175,-87.076583,
city,Bridgeport,AL,,34.949312,-85.723765,
city,Brighton,AL,,33.439551,-86.945404,
city,Brilliant,AL,,34.025671,-87.769047,
city,Bristow Cove,AL,,34.109216,-86.240993,
city,Brook Highland,AL,,33.440378,-86.684880,
city,Brookside,AL,,33.634617,-86.906314,
city,Brookwood,AL,,33.239842,-87.331488,
city,Broomtown,AL,,34.365728,-85.532112,
city,Brundidge,AL,,31.717639,-85.817550,
city,Bucks,AL,,31.016881,-88.026385,
city,Butler,AL,,32.096479,-88.210781,
city,Calera,AL,,33.122319,-86.745644,
city,Calvert,AL,,31.149898,-88.021549,
city,Camden,AL,,31.998493,-87.288950,
city,Camp Hill,AL,,32.797327,-85.655833,
city,Carbon Hill,AL,,33.894991,-87.522078,
city,Cardiff,AL,,33.647290,-86.930637,
city,Carlisle-Rockledge,AL,,34.114451,-86.124073,
city,Carlton,AL,,31.348571,-87.835666,
city,Carolina,AL,,31.234150,-86.521001,
city,Carrollton,AL,,33.261903,-88.095071,
city,Castleberry,AL,,31.299678,-87.029129,
city,Catherine,AL,,32.186170,-87.469978,
city,Cedar Bluff,AL,,34.221422,-85.588565,
city,Center Point,AL,,33.643903,-86.684567,
city,Centre,AL,,34.153059,-85.671683,
city,Centreville,AL,,32.958967,-87.132043,
city,Chatom,AL,,31.469145,-88.246019,
city,Chelsea,AL,,33.326887,-86.629519,
city,Cherokee,AL,,34.757700,-87.965589,
city,Chickasaw,AL,,30.771450,-88.079697,
city,Childersburg,AL,,33.292549,-86.340844,
city,Choccolocco,AL,,33.667728,-85.707191,
city,Chunchula,AL,,30.927194,-88.208200,
city,Citronelle,AL,,31.097269,-88.249843,
city,Clanton,AL,,32.845572,-86.619494,
city,Clay,AL,,33.696583,-86.608182,
city,Clayhatchee,AL,,31.236925,-85.721478,
city,Clayton,AL,,31.882277,-85.460454,
city,Cleveland,AL,,34.002179,-86.561352,
city,Clio,AL,,31.708516,-85.611039,
city,Coaling,AL,,33.169901,-87.349887,
city,Coats Bend,AL,,34.073273,-85.874602,
city,Coffee Springs,AL,,31.165836,-85.910898,
city,Coffeeville,AL,,31.766564,-88.086049,
city,Coker,AL,,33.243752,-87.681329,
city,Collinsville,AL,,34.267224,-85.868610,
city,Colony,AL,,33.941393,-86.902001,
city,Columbia,AL,,31.295351,-85.110202,
city,Columbiana,AL,,33.191452,-86.615618,
city,Concord,AL,,33.461988,-87.040429,
city,Coosada,AL,,32.495394,-86.326543,
city,Cordova,AL,,33.761788,-87.199416,
city,Cottondale,AL,,33.193047,-87.454861,
city,Cottonwood,AL,,31.054033,-85.299560,
city,County Line,AL,,33.820724,-86.719467,
city,Courtland,AL,,34.669946,-87.327892,
city,Cowarts,AL,,31.206248,-85.309769,
city,Creola,AL,,30.874249,-88.009536,
city,Crossville,AL,,34.282697,-85.999737,
city,Cuba,AL,,32.440733,-88.374798,
city,Cullman,AL,,34.176870,-86.840656,
city,Cullomburg,AL,,31.713061,-88.291774,
city,Cusseta,AL,,32.787637,-85.305769,
city,Dadeville,AL,,32.826114,-85.776201,
